Issuer,Ticker,Name,Stars,Risk,Medal,ESG Globes,12h Flow,6h Flow,2h Flow,1h Flow,30m Flow,10m Flow
iShares,HSCZ,iShares Currency Hedged MSCI EAFE Small-Cap ETF,5,Low,Bronze,3.0,41.8,41.8,41.8,41.8,41.8,61.1
Invesco,GSY,Invesco Ultra Short Duration ETF,4,Average,Bronze,3.0,41.8,41.8,34.6,64.2,61.1,66.6
iShares,IVE,iShares S&P 500 Value ETF,4,Average,Silver,4.0,41.7,41.7,39.5,33.6,32.4,35.2
JPMorgan,JQUA,JPMorgan U.S. Quality Factor ETF,4,Below Average,Gold,4.0,41.7,41.7,38.7,32.2,28.3,43.4
iShares,IWY,iShares Russell Top 200 Growth ETF,5,Average,Silver,4.0,41.5,41.5,41.3,30.2,20.6,24.2
SPDR,SPYM,State Street® SPDR® Portfolio S&P 500® ETF,4,Average,Gold,3.0,41.5,41.5,40.3,36.5,50.9,67.6
SPDR,XLK,State Street® Technology Select Sector SPDR® ETF,4,Below Average,Bronze,5.0,41.5,41.5,37.2,34.1,32.6,40.2
iShares,IUSG,iShares Core S&P U.S. Growth ETF,4,Below Average,Silver,3.0,41.3,41.3,38.7,40.0,23.2,19.2
iShares,EMGF,iShares Emerging Markets Equity Factor ETF,4,Below Average,Bronze,2.0,41.0,41.0,41.0,59.9,73.2,21.5
iShares,SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,4,Average,Silver,3.0,41.0,41.0,41.0,11.5,2.2,30.0
Vanguard,VYM,Vanguard High Dividend Yield Index Fund ETF Shares,4,Below Average,Gold,2.0,40.9,40.9,48.0,45.2,45.8,20.5
iShares,IYG,iShares U.S. Financial Services ETF,4,Average,Neutral,3.0,40.7,40.7,40.7,40.7,49.3,40.5
SPDR,KCE,State Street® SPDR® S&P® Capital Markets ETF,5,Average,Neutral,2.0,40.3,40.3,40.3,40.3,40.3,40.3
Morgan Stanley,EVSM,Eaton Vance Short Duration Municipal Income ETF,5,Below Average,Neutral,,40.3,40.3,40.3,40.3,40.3,40.0
BlackRock,HYT,"BlackRock Corporate High Yield Fund, Inc",4,Average,,,40.3,40.3,39.5,36.1,17.0,21.7
iShares,BRLN,iShares Floating Rate Loan Active ETF,4,Below Average,Bronze,,40.2,40.2,40.2,40.2,40.2,40.2
SPDR,SPDW,State Street® SPDR® Portfolio Developed World ex-US ETF,4,Average,Silver,2.0,40.1,40.1,36.0,34.7,33.7,68.6
iShares,ILCG,iShares Morningstar Growth ETF,4,Average,Gold,3.0,40.0,40.0,40.0,38.0,35.6,47.5
SPDR,EDIV,State Street® SPDR® S&P Emerging Markets Dividend ETF,5,Below Average,Gold,2.0,40.0,40.0,40.0,26.7,42.9,30.9
iShares,IWF,iShares Russell 1000 Growth ETF,4,Average,Silver,3.0,39.9,39.9,38.4,33.3,27.2,50.3
Vanguard,VOO,Vanguard S&P 500 ETF,4,Average,Gold,3.0,39.5,39.5,36.9,31.7,28.3,33.9
iShares,AOA,iShares Core 80/20 Aggressive Allocation ETF,4,Below Average,Silver,2.0,39.3,39.3,38.5,40.9,37.4,0.8
Vanguard,VCR,Vanguard Consumer Discretionary Index Fund ETF Shares,4,Average,Gold,3.0,38.7,38.7,38.7,38.5,32.7,42.1
Schwab,SCHF,Schwab International Equity ETF™,4,Average,Silver,2.0,38.7,38.7,37.4,33.1,22.0,39.0
iShares,MXI,iShares Global Materials ETF,4,Average,Neutral,4.0,38.6,38.6,38.6,38.6,38.6,14.5
SPDR,NANR,State Street® SPDR® S&P® North American Natural Resources ETF,4,Average,Neutral,2.0,38.4,38.4,38.4,38.4,38.4,66.2
